beginend	dist	hours	idvelo	lat0	lat1	lng0	lng1	name0	name1	number0	number1	time
begin	0.0	0.0	90	47.239837298410414		6.019829222956177		03 - MADELEINE (CB)		3		2014-05-22 18:14:45.504670
begin	0.0	0.0	105	47.24274259048728		6.025292335375532		05 - ISEMBART		5		2014-05-22 18:15:45.504670
begin	0.0	0.0	50	47.24598		6.0224		01 - GARE VIOTTE (CB)		1		2014-05-22 18:16:45.504670
end	0.9379970532348025	1.0	90	47.239837298410414	47.234686721360035	6.019829222956177	6.029668698192095	03 - MADELEINE (CB)	13 - VICTOR HUGO	3	13.0	2014-05-22 19:14:45.504670
begin	0.0	0.0	65	47.23816305075897		6.032473880806257		21 - SAINT-PAUL		21		2014-05-22 19:15:45.504670
end	1.1526519059670577	1.0	105	47.24274259048728	47.232972634791274	6.025292335375532	6.020189619260524	05 - ISEMBART	17 - PREFECTURE	5	17.0	2014-05-22 19:15:45.504670
begin	0.0	0.0	0	47.234141824485384		6.033465399526011		14 - JACOBINS		14		2014-05-22 19:16:45.504670
end	0.0	1.0	50	47.24598	47.24598	6.0224	6.0224	01 - GARE VIOTTE (CB)	01 - GARE VIOTTE (CB)	1	1.0	2014-05-22 19:16:45.504670
begin	0.0	0.0	115	47.23532713371164		6.025415743969972		12 - GRANVELLE (CB)		12		2014-05-22 19:17:45.504670
end	0.5237361973441109	1.0	65	47.23816305075897	47.242516482485755	6.032473880806257	6.029825732914758	21 - SAINT-PAUL	06 - OFFICE DE TOURISME (CB)	21	6.0	2014-05-22 20:15:45.504670
begin	0.0	0.0	55	47.242266739833966		6.014812815272848		28 - LECLERC		28		2014-05-22 20:16:45.504670
end	0.9011895380631905	1.0	0	47.234141824485384	47.23687885054159	6.033465399526011	6.022230358397715	14 - JACOBINS	27 - MAIRIE	14	27.0	2014-05-22 20:16:45.504670
begin	0.0	0.0	135	47.23570567397708		6.021461994271495		18 - SAINT-JACQUES (CB)		18		2014-05-22 20:17:45.504670
end	0.47353812352182567	1.0	115	47.23532713371164	47.232972634791274	6.025415743969972	6.020189619260524	12 - GRANVELLE (CB)	17 - PREFECTURE	12	17.0	2014-05-22 20:17:45.504670
begin	0.0	0.0	70	47.23775305781035		6.024181412656592		10 - 8 SEPTEMBRE (CB)		10		2014-05-22 20:18:45.504670
end	0.4651762458167788	1.0	55	47.242266739833966	47.239837298410414	6.014812815272848	6.019829222956177	28 - LECLERC	03 - MADELEINE (CB)	28	3.0	2014-05-22 21:16:45.504670
begin	0.0	0.0	40	47.24010992877723		6.027358757731064		24 - MEDIATHEQUE		24		2014-05-22 21:17:45.504670
end	1.2427131326559149	1.0	135	47.23570567397708	47.245601166043805	6.021461994271495	6.029112984244656	18 - SAINT-JACQUES (CB)	04 - FLORE	18	4.0	2014-05-22 21:17:45.504670
begin	0.0	0.0	136	47.23570567397708		6.021461994271495		18 - SAINT-JACQUES (CB)		18		2014-05-22 21:18:45.504670
end	0.8672540565288298	1.0	70	47.23775305781035	47.242266739833966	6.024181412656592	6.014812815272848	10 - 8 SEPTEMBRE (CB)	28 - LECLERC	10	28.0	2014-05-22 21:18:45.504670
begin	0.0	0.0	41	47.24010992877723		6.027358757731064		24 - MEDIATHEQUE		24		2014-05-22 21:19:45.504670
end	0.3317092314045346	1.0	40	47.24010992877723	47.24274259048728	6.027358757731064	6.025292335375532	24 - MEDIATHEQUE	05 - ISEMBART	24	5.0	2014-05-22 22:17:45.504670
begin	0.0	0.0	35	47.23687885054159		6.022230358397715		27 - MAIRIE		27		2014-05-22 22:18:45.504670
end	0.6432080750413544	1.0	136	47.23570567397708	47.24087	6.021461994271495	6.0253	18 - SAINT-JACQUES (CB)	19 - BEAUX-ARTS	18	19.0	2014-05-22 22:18:45.504670
begin	0.0	0.0	110	47.23962163528984		6.01727555596672		08 - MARULAZ		8		2014-05-22 22:19:45.504670
end	0.0	1.0	41	47.24010992877723	47.24010992877723	6.027358757731064	6.027358757731064	24 - MEDIATHEQUE	24 - MEDIATHEQUE	24	24.0	2014-05-22 22:19:45.504670
begin	0.0	0.0	116	47.23532713371164		6.025415743969972		12 - GRANVELLE (CB)		12		2014-05-22 22:20:45.504670
end	0.9419181063171512	1.0	35	47.23687885054159	47.240378590402976	6.022230358397715	6.033592242591653	27 - MAIRIE	07 - GARE MOUILLERE	27	7.0	2014-05-22 23:18:45.504670
begin	0.0	0.0	55	47.239837298410414		6.019829222956177		03 - MADELEINE (CB)		3		2014-05-22 23:19:45.504670
end	1.1138275811031397	1.0	110	47.23962163528984	47.245601166043805	6.01727555596672	6.029112984244656	08 - MARULAZ	04 - FLORE	8	4.0	2014-05-22 23:19:45.504670
begin	0.0	0.0	25	47.238861017468444		6.029520493529113		26 - BERSOT		26		2014-05-22 23:20:45.504670
end	0.29598680801146465	1.0	116	47.23532713371164	47.23687885054159	6.025415743969972	6.022230358397715	12 - GRANVELLE (CB)	27 - MAIRIE	12	27.0	2014-05-22 23:20:45.504670
begin	0.0	0.0	95	47.242516482485755		6.029825732914758		06 - OFFICE DE TOURISME (CB)		6		2014-05-22 23:21:45.504670
